"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2018520289","8/1/2018","8/1/2018","8/1/2018","3801 N JASON ST                                   ","3140598.00","1705540.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018533418","8/3/2018","8/4/2018","8/6/2018","2209 W 32ND AVE                                   ","3136866.00","1702905.00","1","113","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2018534182","8/6/2018","1/1/1900","8/6/2018","3480 S GALENA ST                                  ","3177845.00","1663780.00","3","323","3512    ","DRUG - HEROIN POSSESS","Drug Offenses","INDUSTRY","","","",""
"2018541702","8/6/2018","8/7/2018","8/9/2018","543 N BRYANT ST                                   ","3135294.00","1689181.00","4","411","5707    ","CRIMINAL TRESPASSING","All Other Crimes","INDUSTRY","","","",""
"2018542060","8/9/2018","1/1/1900","8/9/2018","1155 S CHEROKEE ST                                ","3143076.00","1678660.00","3","313","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2018543110","8/10/2018","8/10/2018","8/10/2018","1355 N SANTA FE DR                                ","3140879.00","1693841.00","1","123","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018552069","8/13/2018","1/1/1900","8/13/2018","4620 N PEORIA ST                                  ","3183815.00","1709739.00","5","521","5707    ","CRIMINAL TRESPASSING","All Other Crimes","INDUSTRY","","","",""
"2018560070","8/17/2018","8/17/2018","8/17/2018","1568 S BROADWAY ST                                ","3144286.00","1675958.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018560102","8/17/2018","8/17/2018","8/17/2018","3555 S YOSEMITE ST                                ","3173020.00","1662878.00","3","324","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018560182","8/17/2018","1/1/1900","8/17/2018","7870 W QUINCY AVE                                 ","3116932.00","1657685.00","4","423","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"201856457","1/24/2018","1/24/2018","1/24/2018","1055 S FOX ST                                     ","3142161.00","1679300.00","4","412","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018577489","8/24/2018","8/24/2018","8/24/2018","3555 S YOSEMITE ST                                ","3173020.00","1662878.00","3","324","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018582461","8/26/2018","8/26/2018","8/26/2018","4690 N BRIGHTON BLVD                              ","3149975.00","1710084.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018594837","8/31/2018","8/31/2018","8/31/2018","6858 E EVANS AVE                                  ","3166313.00","1672406.00","3","323","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018595943","8/23/2018","1/1/1900","8/31/2018","1350 S SHERIDAN BLVD                              ","3125828.00","1677226.00","4","421","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2018596153","8/25/2018","8/30/2018","8/31/2018","2000 S DAHLIA ST                                  ","3160039.00","1673151.00","3","322","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"20186000131","1/3/2018","1/3/2018","1/4/2018","4015 N ELATI ST                                   ","3142282.00","1706533.00","1","112","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"20186007702","8/8/2018","8/8/2018","8/8/2018","6767 E 39TH AVE                                   ","3165817.00","1706380.00","2","221","2304    ","THEFT - PARTS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","","","",""
"20186008479","8/28/2018","8/29/2018","8/29/2018","660 N BRYANT ST                                   ","3135418.00","1690006.00","1","122","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","","","",""
"20186011512","11/25/2018","11/25/2018","11/25/2018","11975 E 40TH AVE                                  ","3182912.00","1707217.00","5","512","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","","","",""
